_id,Uid,Техместо,Наименование,Диспетчерское наименование,Класс
65a2361a96b9132bd04d7d70,ee7dd959-cb66-4b8e-9b98-8adfa97cb31d,PS110-000396,ПС 110 кВ Злобинская,ПС 110 кВ Злобинская,Substation
65a2361a96b9132bd04d7d71,EE9FB483-690F-43CA-B7C3-FB6C8A73A68C,PS110-001386,ПС 110 кВ Наседкино,ПС 110 кВ Наседкино,Substation
65a2361a96b9132bd04d7d72,eed37e59-b7c5-49e8-b335-1c100bec8fc1,PS110-000142,ПС 110 кВ Советская,ПС 110 кВ Советская,Substation
65a2361a96b9132bd04d7d73,efbd66a7-122e-4081-afd5-52088f54aeaf,PS110-000202,ПС 110 кВ Северская,ПС 110 кВ Северская,Substation
65a2361a96b9132bd04d7d74,f094b13a-71fc-41d9-8ae8-4e4f39310824,PS110-000771,ПС 110 кВ Букачача,ПС 110 кВ Букачача,Substation
65a2361a96b9132bd04d7d75,f09e744e-e7f5-48be-a695-ee734a0781c0,PS110-000341,ПС 110 кВ Сельмаш,ПС 110 кВ Сельмаш,Substation
65a2361a96b9132bd04d7d76,f0d7dd98-73c5-4807-93c8-fc4b8baaa0a6,PS110-000536,ПС 110 кВ Драгунский Водозабор,ПС 110 кВ Драгунский Водозабор,Substation
65a2361a96b9132bd04d7d77,f0e8d7b9-981c-4431-bb5f-92229e1655b7,PS110-000368,ПС 110 кВ Толстый Мыс,ПС 110 кВ Т.Мыс,Substation
65a2361a96b9132bd04d7d78,f1b7b10d-7e3a-4334-afb3-71b4e559daf9,PS110-000190,ПС 110 кВ Благовещенская,ПС 110 кВ Благовещенская,Substation
65a2361a96b9132bd04d7d79,f1d25304-ebb2-4f3b-b884-1ce48fb6b72b,PS110-000950,ПС 110 кВ Ташеба-тяговая,ПС 110 кВ Ташеба-тяговая,Substation
65a2361a96b9132bd04d7d7a,f20f4d82-1142-404b-82a3-aab35338f82b,PS110-000560,ПС 110 кВ Бенжереп-2,ПС 110 кВ Бенжереп-2,Substation
65a2361a96b9132bd04d7d7b,f2a00d67-71c2-422c-b062-7113271601d5,PS110-000957,ПС 110 кВ Промбаза,ПС 110/35/6 кВ «Промбаза»,Substation
65a2361a96b9132bd04d7d7c,f33c7a73-48b6-4732-a38d-06a03401fc31,PS110-000233,ПС 110 кВ Мамонтовская,ПС 110 кВ Мамонтовская,Substation
65a2361a96b9132bd04d7d7d,f3873f92-e847-4012-a4db-443134aab34f,PS110-000460,ПС 110 кВ Солянская,ПС 110 кВ Солянская,Substation
65a2361a96b9132bd04d7d7e,f4634d1c-b853-4e6a-b9ca-a4d9c8dd03a8,PS110-001321,ПС 110 кВ Университет ,ПС 110 кВ Университет,Substation
65a2361a96b9132bd04d7d7f,f5daf580-76e0-4d06-93a5-d1a4ed43c5d7,PS110-000199,ПС 110 кВ Каипская,ПС 110 кВ Каипская,Substation
65a2361a96b9132bd04d7d80,f5def1e2-f98e-409f-a655-5284083b22b0,PS110-001316,ПС 110 кВ Белокурихинская,ПС 110 кВ Белокурихинская,Substation
65a2361a96b9132bd04d7d81,f5fd8d2a-1343-4af6-8973-4aac40c62773,PS110-000513,ПС 110 кВ Вишневская,ПС 110 кВ Вишнёвская,Substation
